,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2021-10-19,Milwaukee Bucks,Brooklyn Nets,240.5,0,-125,105,231,23
1,2021-10-19,Los Angeles Lakers,Golden State Warriors,230.5,4.5,-160,140,235,-7
2,2021-10-20,Charlotte Bobcats,Indiana Pacers,228.5,2,105,-125,245,1
3,2021-10-20,Detroit Pistons,Chicago Bulls,220.5,2.5,190,-220,182,-6
4,2021-10-20,Toronto Raptors,Washington Wizards,220,3.5,-140,120,181,-15
5,2021-10-20,New York Knicks,Boston Celtics,217.5,1,-140,120,272,4
6,2021-10-20,Memphis Grizzlies,Cleveland Cavaliers,217.5,8,-280,240,253,11
7,2021-10-20,New Orleans Pelicans,Philadelphia 76ers,227.5,1.5,150,-170,214,-20
8,2021-10-20,Minnesota Timberwolves,Houston Rockets,228.5,4.5,-260,220,230,18
9,2021-10-20,San Antonio Spurs,Orlando Magic,215.5,5.5,-265,225,220,26
10,2021-10-20,Utah Jazz,Oklahoma City Thunder,221.5,11.5,-1200,750,193,21
11,2021-10-20,Portland Trail Blazers,Sacramento Kings,231.5,5.5,-260,220,245,-3
12,2021-10-20,Phoenix Suns,Denver Nuggets,224.5,6.5,-240,200,208,-12
13,2021-10-21,Atlanta Hawks,Dallas Mavericks,224.5,2.5,-140,120,200,26
14,2021-10-21,Miami Heat,Milwaukee Bucks,224.5,1.5,-150,130,232,42
15,2021-10-21,Golden State Warriors,Los Angeles Clippers,225.5,2.5,-180,160,228,2
16,2021-10-22,Orlando Magic,New York Knicks,212,4.5,290,-350,217,-25
17,2021-10-22,Cleveland Cavaliers,Charlotte Bobcats,225.5,3,115,-135,235,-11
18,2021-10-22,Washington Wizards,Indiana Pacers,230,2,110,-130,269,1
19,2021-10-22,Boston Celtics,Toronto Raptors,221,8,-280,240,198,-32
20,2021-10-22,Philadelphia 76ers,Brooklyn Nets,229.5,1,100,-120,223,-5
21,2021-10-22,Houston Rockets,Oklahoma City Thunder,225.5,3,-150,130,215,33
22,2021-10-22,Chicago Bulls,New Orleans Pelicans,224,6.5,-275,235,240,16
23,2021-10-22,Denver Nuggets,San Antonio Spurs,219,8,-310,260,198,6
24,2021-10-22,Los Angeles Lakers,Phoenix Suns,226.5,3,-125,105,220,-10
25,2021-10-22,Sacramento Kings,Utah Jazz,226.5,6,200,-240,211,-9
