,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2018-10-16,Boston Celtics,Philadelphia 76ers,208.5,5,-200,170,192,18
1,2018-10-16,Golden State Warriors,Oklahoma City Thunder,223.5,11.5,-1100,711,208,8
2,2018-10-17,Indiana Pacers,Memphis Grizzlies,209,7,-325,263,194,28
3,2018-10-17,Charlotte Bobcats,Milwaukee Bucks,217,1.5,144,-165,225,-1
4,2018-10-17,Orlando Magic,Miami Heat,210.5,2,115,-135,205,3
5,2018-10-17,Detroit Pistons,Brooklyn Nets,212,4.5,-255,211,203,3
6,2018-10-17,New York Knicks,Atlanta Hawks,213.5,3.5,-170,148,233,19
7,2018-10-17,Toronto Raptors,Cleveland Cavaliers,214,11.5,-1300,797,220,12
8,2018-10-17,Houston Rockets,New Orleans Pelicans,229.5,7.5,-345,278,243,-19
9,2018-10-17,San Antonio Spurs,Minnesota Timberwolves,210.5,1,-145,125,220,4
10,2018-10-17,Sacramento Kings,Utah Jazz,208,7.5,317,-400,240,-6
11,2018-10-17,Phoenix Suns,Dallas Mavericks,215,1,110,-130,221,21
12,2018-10-17,Los Angeles Clippers,Denver Nuggets,227,0,105,-125,205,-9
13,2018-10-18,Philadelphia 76ers,Chicago Bulls,215,11,-1150,733,235,19
14,2018-10-18,Washington Wizards,Miami Heat,212,4,-260,215,225,-1
15,2018-10-18,Portland Trail Blazers,Los Angeles Lakers,222,2.5,-155,135,247,9
16,2018-10-19,Orlando Magic,Charlotte Bobcats,217,0,105,-125,208,-32
17,2018-10-19,Brooklyn Nets,New York Knicks,218.5,3,-170,148,212,2
18,2018-10-19,New Orleans Pelicans,Sacramento Kings,228,10.5,-1000,664,278,20
19,2018-10-19,Toronto Raptors,Boston Celtics,206,3,-155,135,214,12
20,2018-10-19,Minnesota Timberwolves,Cleveland Cavaliers,223.5,8,-425,334,254,8
21,2018-10-19,Memphis Grizzlies,Atlanta Hawks,208.5,6.5,-290,237,248,14
22,2018-10-19,Milwaukee Bucks,Indiana Pacers,214.5,3,-165,144,219,17
23,2018-10-19,Utah Jazz,Golden State Warriors,218,2,115,-135,247,-1
24,2018-10-19,Los Angeles Clippers,Oklahoma City Thunder,215.5,1.5,-150,130,200,16
25,2018-10-20,Washington Wizards,Toronto Raptors,216.5,1,-130,110,230,-4
26,2018-10-20,Indiana Pacers,Brooklyn Nets,210.5,9,-380,303,244,20
27,2018-10-20,Philadelphia 76ers,Orlando Magic,217,11.5,-1300,797,231,1
