,DateHome,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
73,2012-01-02,Denver Nuggets,Milwaukee Bucks,201,6,-200,170,177,5
74,2012-01-02,Utah Jazz,New Orleans Pelicans,181,5.5,-280,240,184,4
75,2012-01-03,Cleveland Cavaliers,Charlotte Bobcats,187,5,-170,150,216,14
76,2012-01-03,Oklahoma City Thunder,Portland Trail Blazers,198,5.5,-200,170,196,-10
77,2012-01-03,Memphis Grizzlies,Sacramento Kings,187.5,8.5,-260,220,209,17
78,2012-01-03,Chicago Bulls,Atlanta Hawks,185,10,-600,450,150,2
79,2012-01-03,Utah Jazz,Milwaukee Bucks,191,1.5,-120,100,158,12
80,2012-01-03,Los Angeles Lakers,Houston Rockets,192,7,-340,280,207,9
81,2012-01-04,Toronto Raptors,Cleveland Cavaliers,190,5,-220,180,169,15
82,2012-01-04,Orlando Magic,Washington Wizards,188.5,13.5,-1400,900,188,18
83,2012-01-04,Boston Celtics,New Jersey Nets,181,12,-1400,900,159,19
84,2012-01-04,Miami Heat,Indiana Pacers,195,10,-360,300,201,35
85,2012-01-04,Detroit Pistons,Chicago Bulls,183,6,240,-280,182,-16
86,2012-01-04,New York Knicks,Charlotte Bobcats,193,13,-800,600,228,-8
87,2012-01-04,Minnesota Timberwolves,Memphis Grizzlies,196,2.5,-200,170,176,-4
88,2012-01-04,New Orleans Pelicans,Philadelphia 76ers,182,3.5,190,-230,194,-8
89,2012-01-04,San Antonio Spurs,Golden State Warriors,191,8,-350,290,196,6
90,2012-01-04,Dallas Mavericks,Phoenix Suns,194,8.5,-350,290,187,9
91,2012-01-04,Denver Nuggets,Sacramento Kings,198,10,-900,650,193,27
92,2012-01-04,Los Angeles Clippers,Houston Rockets,200,5.5,-320,260,206,28
93,2012-01-05,Atlanta Hawks,Miami Heat,189,3,-185,165,225,-7
94,2012-01-05,San Antonio Spurs,Dallas Mavericks,192.5,3,-135,115,164,22
95,2012-01-05,Sacramento Kings,Milwaukee Bucks,189,3,135,-155,203,3
96,2012-01-05,Portland Trail Blazers,Los Angeles Lakers,189.5,3.5,-165,145,203,11
97,2012-01-06,Charlotte Bobcats,Atlanta Hawks,188.5,3.5,105,-125,198,-6
98,2012-01-06,Philadelphia 76ers,Detroit Pistons,185.5,8.5,-625,475,169,23
99,2012-01-06,Toronto Raptors,New Jersey Nets,183.5,6.5,-270,230,182,-12
100,2012-01-06,Washington Wizards,New York Knicks,197.5,7,220,-260,195,-3
101,2012-01-06,Boston Celtics,Indiana Pacers,184.5,6,-260,220,161,-13
102,2012-01-06,Orlando Magic,Chicago Bulls,181,2,110,-130,180,-14
103,2012-01-06,Oklahoma City Thunder,Houston Rockets,204,9,-750,550,203,15
104,2012-01-06,Minnesota Timberwolves,Cleveland Cavaliers,197,7,-300,250,185,-11
105,2012-01-06,New Orleans Pelicans,Denver Nuggets,190.5,5.5,230,-270,184,-8
106,2012-01-06,Utah Jazz,Memphis Grizzlies,186.5,0,100,-120,179,9
107,2012-01-06,Phoenix Suns,Portland Trail Blazers,192.5,2,115,-135,179,25
108,2012-01-06,Los Angeles Lakers,Golden State Warriors,188.5,10.5,-700,500,187,7
109,2012-01-07,Indiana Pacers,Charlotte Bobcats,190,9.5,-600,450,176,22
110,2012-01-07,Atlanta Hawks,Chicago Bulls,177,3,220,-260,203,15
111,2012-01-07,Detroit Pistons,New York Knicks,193,4,165,-185,183,-23
112,2012-01-07,New Jersey Nets,Miami Heat,187,5.5,350,-450,191,-11
113,2012-01-07,Philadelphia 76ers,Toronto Raptors,188,10,-625,475,159,35
114,2012-01-07,Houston Rockets,Oklahoma City Thunder,202.5,5,200,-240,193,-3
115,2012-01-07,San Antonio Spurs,Denver Nuggets,195.5,3,-185,165,238,4
116,2012-01-07,Dallas Mavericks,New Orleans Pelicans,180,10,-1000,700,177,15
117,2012-01-07,Los Angeles Clippers,Milwaukee Bucks,194,9,-650,500,178,6
118,2012-01-07,Golden State Warriors,Utah Jazz,186,3.5,-160,140,175,-1
119,2012-01-08,Washington Wizards,Minnesota Timberwolves,195,2,125,-145,165,-21
120,2012-01-08,Sacramento Kings,Orlando Magic,189.5,6.5,250,-300,201,-7
121,2012-01-08,Oklahoma City Thunder,San Antonio Spurs,195,6,-280,240,204,12
122,2012-01-08,Phoenix Suns,Milwaukee Bucks,187.5,8,-350,290,202,16
123,2012-01-08,Portland Trail Blazers,Cleveland Cavaliers,196,10.5,-700,500,176,20
124,2012-01-08,Los Angeles Lakers,Memphis Grizzlies,184.5,7.5,-320,260,172,8
125,2012-01-09,Toronto Raptors,Minnesota Timberwolves,190,3.5,-155,135,184,10
126,2012-01-09,Philadelphia 76ers,Indiana Pacers,183.5,4.5,-305,245,182,10
127,2012-01-09,New Jersey Nets,Atlanta Hawks,178.5,6,190,-240,207,-5
128,2012-01-09,New York Knicks,Charlotte Bobcats,203.5,11.5,-735,510,178,4
129,2012-01-09,Chicago Bulls,Detroit Pistons,177.5,13.5,-1905,1205,160,24
130,2012-01-09,Denver Nuggets,New Orleans Pelicans,191.5,13,-1340,890,175,-13
131,2012-01-10,Charlotte Bobcats,Houston Rockets,194,3,135,-155,152,-12
132,2012-01-10,Washington Wizards,Toronto Raptors,186,1,-140,120,171,15
133,2012-01-10,Philadelphia 76ers,Sacramento Kings,197,10,-550,425,197,27
134,2012-01-10,Detroit Pistons,Dallas Mavericks,182,5,255,-315,186,-14
135,2012-01-10,Milwaukee Bucks,San Antonio Spurs,189,3,110,-130,209,3
136,2012-01-10,Memphis Grizzlies,Oklahoma City Thunder,193,3.5,115,-135,195,-5
137,2012-01-10,Minnesota Timberwolves,Chicago Bulls,186,7,240,-300,211,-11
138,2012-01-10,Utah Jazz,Cleveland Cavaliers,188,5,-275,225,218,8
139,2012-01-10,Portland Trail Blazers,Los Angeles Clippers,194,4.5,-250,200,202,8
140,2012-01-10,Los Angeles Lakers,Phoenix Suns,187.5,8.5,-375,305,182,16
141,2012-01-10,Golden State Warriors,Miami Heat,196,8,450,-610,217,5
142,2012-01-11,Indiana Pacers,Atlanta Hawks,182.5,3.5,-145,125,180,12
143,2012-01-11,Toronto Raptors,Sacramento Kings,190.5,4,-245,195,189,-7
144,2012-01-11,New York Knicks,Philadelphia 76ers,196.5,5,-175,155,164,6
145,2012-01-11,Chicago Bulls,Washington Wizards,181,13.5,-940,640,142,14
146,2012-01-11,New Orleans Pelicans,Oklahoma City Thunder,187,8.5,235,-295,180,-10
147,2012-01-11,Boston Celtics,Dallas Mavericks,185,5.5,-205,165,175,-5
148,2012-01-11,San Antonio Spurs,Houston Rockets,197.5,7,-305,245,196,6
149,2012-01-11,Denver Nuggets,New Jersey Nets,195,12.5,-1145,745,238,8
150,2012-01-11,Utah Jazz,Los Angeles Lakers,186,2,105,-125,177,-3
151,2012-01-11,Portland Trail Blazers,Orlando Magic,190,4,-150,130,211,-3
152,2012-01-11,Los Angeles Clippers,Miami Heat,202.5,4,135,-155,184,6
153,2012-01-12,Atlanta Hawks,Charlotte Bobcats,184,10.5,-380,310,192,30
154,2012-01-12,Milwaukee Bucks,Detroit Pistons,178.5,8.5,-400,325,195,9
155,2012-01-12,Memphis Grizzlies,New York Knicks,194,2.5,-200,170,177,11
156,2012-01-12,Phoenix Suns,Cleveland Cavaliers,194,7.5,-320,260,191,-11
157,2012-01-12,Golden State Warriors,Orlando Magic,185.5,4,145,-165,226,-8
158,2012-01-13,Charlotte Bobcats,Detroit Pistons,176.5,4,-160,140,179,-17
159,2012-01-13,Toronto Raptors,Indiana Pacers,178,5.5,210,-250,185,-5
160,2012-01-13,Philadelphia 76ers,Washington Wizards,185.5,12.5,-1500,1000,209,31
161,2012-01-13,Boston Celtics,Chicago Bulls,177,1.5,110,-130,167,-9
162,2012-01-13,Houston Rockets,Sacramento Kings,198,8,-400,320,192,14
163,2012-01-13,New Orleans Pelicans,Minnesota Timberwolves,181,1,102,-113,167,-7
164,2012-01-13,San Antonio Spurs,Portland Trail Blazers,195,2,-116,105,182,16
165,2012-01-13,Dallas Mavericks,Milwaukee Bucks,184,9,-530,415,178,26
166,2012-01-13,Phoenix Suns,New Jersey Nets,197.5,7,-230,190,213,-7
167,2012-01-13,Denver Nuggets,Miami Heat,210,3.5,145,-165,221,13
168,2012-01-13,Los Angeles Lakers,Cleveland Cavaliers,187.5,10.5,-770,570,189,5
169,2012-01-14,Indiana Pacers,Boston Celtics,180,3.5,-165,145,180,14
170,2012-01-14,Washington Wizards,Philadelphia 76ers,184,8,305,-370,193,-13
171,2012-01-14,Atlanta Hawks,Minnesota Timberwolves,189,7.5,-330,270,184,2
172,2012-01-14,Charlotte Bobcats,Golden State Warriors,188.5,2.5,145,-165,212,12
173,2012-01-14,Houston Rockets,Portland Trail Blazers,196,2,-110,100,212,2
174,2012-01-14,Oklahoma City Thunder,New York Knicks,193.5,11.5,-800,600,196,12
175,2012-01-14,Memphis Grizzlies,New Orleans Pelicans,177,11,-780,580,207,9
176,2012-01-14,Chicago Bulls,Toronto Raptors,177,13,-2000,1200,141,13
177,2012-01-14,Utah Jazz,New Jersey Nets,187.5,9,-400,320,201,13
178,2012-01-14,Dallas Mavericks,Sacramento Kings,191.5,12,-900,650,159,39
179,2012-01-14,Los Angeles Clippers,Los Angeles Lakers,187.5,2.5,-135,115,196,8
180,2012-01-15,Detroit Pistons,Golden State Warriors,184,4,-180,155,190,-8
181,2012-01-15,Denver Nuggets,Utah Jazz,203,10,-725,500,202,-10
182,2012-01-15,San Antonio Spurs,Phoenix Suns,197.5,7.5,-455,355,193,11
183,2012-01-16,New York Knicks,Orlando Magic,192,0,105,-125,195,-9
184,2012-01-16,Memphis Grizzlies,Chicago Bulls,178.5,5,110,-130,188,16
185,2012-01-16,Philadelphia 76ers,Milwaukee Bucks,189,8.5,-455,355,176,12
186,2012-01-16,Washington Wizards,Houston Rockets,190.5,5.5,195,-245,220,-8
187,2012-01-16,Charlotte Bobcats,Cleveland Cavaliers,194.5,2.5,-115,-105,196,-8
188,2012-01-16,New Orleans Pelicans,Portland Trail Blazers,182.5,6,200,-250,161,-7
189,2012-01-16,Los Angeles Clippers,New Jersey Nets,195,9.5,-340,270,192,10
190,2012-01-16,Atlanta Hawks,Toronto Raptors,178.5,11,-655,465,177,9
191,2012-01-16,Minnesota Timberwolves,Sacramento Kings,192,7,-320,260,185,13
192,2012-01-16,Boston Celtics,Oklahoma City Thunder,188,2,125,-145,185,-9
193,2012-01-16,Los Angeles Lakers,Dallas Mavericks,181.5,4,-185,165,143,3
194,2012-01-17,Orlando Magic,Charlotte Bobcats,192,12,-1000,700,185,7
195,2012-01-17,Cleveland Cavaliers,Golden State Warriors,197.5,2.5,-130,110,200,-10
196,2012-01-17,Miami Heat,San Antonio Spurs,202,6,-300,250,218,22
197,2012-01-17,Chicago Bulls,Phoenix Suns,183,10,-470,370,215,21
198,2012-01-17,Milwaukee Bucks,Denver Nuggets,200.5,3,130,-150,200,-10
199,2012-01-17,Houston Rockets,Detroit Pistons,187.5,8,-345,285,177,17
200,2012-01-17,Utah Jazz,Los Angeles Clippers,192,2.5,-200,170,187,29
201,2012-01-18,Philadelphia 76ers,Denver Nuggets,201,6,-245,195,212,-4
202,2012-01-18,Washington Wizards,Oklahoma City Thunder,197.5,11,570,-870,207,3
203,2012-01-18,Orlando Magic,San Antonio Spurs,195,5,-190,165,168,-2
204,2012-01-18,New York Knicks,Phoenix Suns,195,8,-370,300,179,-3
205,2012-01-18,New Jersey Nets,Golden State Warriors,197,2.5,-150,130,207,7
206,2012-01-18,Boston Celtics,Toronto Raptors,177,9.5,-530,420,169,23
207,2012-01-18,Minnesota Timberwolves,Detroit Pistons,185.5,8.5,-450,350,178,8
208,2012-01-18,New Orleans Pelicans,Memphis Grizzlies,176.5,5,155,-175,180,-6
209,2012-01-18,Atlanta Hawks,Portland Trail Blazers,186,2,-135,115,181,3
210,2012-01-18,Sacramento Kings,Indiana Pacers,188,4,180,-220,180,4
211,2012-01-18,Los Angeles Clippers,Dallas Mavericks,182,3,150,-170,180,2
212,2012-01-19,Miami Heat,Los Angeles Lakers,191,5.5,-240,200,185,11
213,2012-01-19,Houston Rockets,New Orleans Pelicans,185,10.5,-600,450,178,2
214,2012-01-19,Utah Jazz,Dallas Mavericks,184,1.5,-155,135,185,-3
215,2012-01-20,Toronto Raptors,Portland Trail Blazers,180,7,275,-345,178,-10
216,2012-01-20,Washington Wizards,Denver Nuggets,203,7.5,260,-320,212,-4
217,2012-01-20,Philadelphia 76ers,Atlanta Hawks,184,6,-305,245,166,14
218,2012-01-20,New York Knicks,Milwaukee Bucks,190,6.5,-205,175,186,-14
219,2012-01-20,Cleveland Cavaliers,Chicago Bulls,185,4.5,170,-200,189,-39
220,2012-01-20,Detroit Pistons,Memphis Grizzlies,180,3.5,175,-215,179,-17
221,2012-01-20,Boston Celtics,Phoenix Suns,183,6,-295,235,150,-8
222,2012-01-20,Orlando Magic,Los Angeles Lakers,182.5,5,-160,140,172,12
223,2012-01-20,San Antonio Spurs,Sacramento Kings,197.5,11.5,-765,515,174,-2
224,2012-01-20,Los Angeles Clippers,Minnesota Timberwolves,188,5,-220,180,199,-3
225,2012-01-20,Golden State Warriors,Indiana Pacers,188,3,-125,105,185,-3
226,2012-01-21,Atlanta Hawks,Cleveland Cavaliers,188.5,8,-335,275,215,27
227,2012-01-21,Miami Heat,Philadelphia 76ers,195,7.5,-325,265,205,21
228,2012-01-21,Detroit Pistons,Portland Trail Blazers,183.5,5.5,250,-300,185,3
229,2012-01-21,New York Knicks,Denver Nuggets,206.5,0,120,-140,233,-5
230,2012-01-21,Memphis Grizzlies,Sacramento Kings,191.5,9,-500,400,223,33
231,2012-01-21,New Orleans Pelicans,Dallas Mavericks,175,5.5,150,-170,164,-2
232,2012-01-21,Houston Rockets,San Antonio Spurs,194,2,-210,175,207,3
233,2012-01-21,New Jersey Nets,Oklahoma City Thunder,202,9,310,-380,158,-10
234,2012-01-21,Chicago Bulls,Charlotte Bobcats,185,11.5,-1500,1000,184,6
235,2012-01-21,Utah Jazz,Minnesota Timberwolves,190.5,6,-300,250,206,10
236,2012-01-22,Washington Wizards,Boston Celtics,185.5,5,155,-175,194,-6
237,2012-01-22,Los Angeles Clippers,Toronto Raptors,184.5,8,-450,350,194,12
238,2012-01-22,Miami Heat,Milwaukee Bucks,195.5,10,-525,415,173,-9
239,2012-01-22,New Jersey Nets,Charlotte Bobcats,195.5,6,-200,170,184,10
240,2012-01-22,Los Angeles Lakers,Indiana Pacers,178,6.5,-235,195,194,-2
241,2012-01-23,Philadelphia 76ers,Washington Wizards,192,13.5,-1100,700,186,20
242,2012-01-23,Boston Celtics,Orlando Magic,179,4,290,-350,143,31
243,2012-01-23,Oklahoma City Thunder,Detroit Pistons,187,13.5,-1600,1000,178,20
244,2012-01-23,Chicago Bulls,New Jersey Nets,184,14,-1450,950,205,15
245,2012-01-23,Milwaukee Bucks,Atlanta Hawks,183,1,105,-125,189,-5
