,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2013-10-29,Indiana Pacers,Orlando Magic,187,12.5,-1025,675,184,10
1,2013-10-29,Miami Heat,Chicago Bulls,187.5,5,-220,180,202,12
2,2013-10-29,Los Angeles Lakers,Los Angeles Clippers,196.5,9,435,-575,219,13
3,2013-10-30,Philadelphia 76ers,Miami Heat,195.5,9.5,495,-795,224,4
4,2013-10-30,Cleveland Cavaliers,Brooklyn Nets,196,3,135,-155,192,4
5,2013-10-30,Toronto Raptors,Boston Celtics,190,7.5,-385,305,180,6
6,2013-10-30,Detroit Pistons,Washington Wizards,190.5,3,-140,120,215,11
7,2013-10-30,New York Knicks,Milwaukee Bucks,197.5,9,-360,290,173,7
8,2013-10-30,Houston Rockets,Charlotte Bobcats,204.5,12,-1630,1030,179,13
9,2013-10-30,Minnesota Timberwolves,Orlando Magic,196,9,-795,495,235,5
10,2013-10-30,New Orleans Pelicans,Indiana Pacers,186.5,3,-120,100,185,-5
11,2013-10-30,Dallas Mavericks,Atlanta Hawks,196,4.5,-245,205,227,9
12,2013-10-30,San Antonio Spurs,Memphis Grizzlies,187,6,-250,210,195,7
13,2013-10-30,Utah Jazz,Oklahoma City Thunder,196,4.5,225,-275,199,-3
14,2013-10-30,Phoenix Suns,Portland Trail Blazers,198,3,180,-215,195,13
15,2013-10-30,Sacramento Kings,Denver Nuggets,207.5,3,-140,120,178,2
16,2013-10-30,Golden State Warriors,Los Angeles Lakers,203.5,11,-1090,690,219,31
17,2013-10-31,Chicago Bulls,New York Knicks,189.5,7.5,-350,290,163,1
18,2013-10-31,Los Angeles Clippers,Golden State Warriors,203,7,-250,210,241,11
19,2013-11-01,Orlando Magic,New Orleans Pelicans,194.5,4,155,-175,200,20
20,2013-11-01,Charlotte Bobcats,Cleveland Cavaliers,190.5,1.5,145,-165,174,6
21,2013-11-01,Washington Wizards,Philadelphia 76ers,196.5,8.5,-530,405,211,-7
22,2013-11-01,Atlanta Hawks,Toronto Raptors,194,3.5,-160,140,197,7
23,2013-11-01,Boston Celtics,Milwaukee Bucks,191,2.5,-140,120,203,-7
24,2013-11-01,Houston Rockets,Dallas Mavericks,202,7.5,-280,230,218,8
