,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2012-10-30,Cleveland Cavaliers,Washington Wizards,191,5.5,-250,210,178,10
1,2012-10-30,Miami Heat,Boston Celtics,184,8,-280,240,227,13
2,2012-10-30,Los Angeles Lakers,Dallas Mavericks,187,8.5,-500,400,190,-8
3,2012-10-31,Toronto Raptors,Indiana Pacers,188.5,3.5,100,-120,178,-2
4,2012-10-31,Philadelphia 76ers,Denver Nuggets,201,2,110,-130,159,9
5,2012-10-31,Detroit Pistons,Houston Rockets,188,3,-135,115,201,-9
6,2012-10-31,New Orleans Pelicans,San Antonio Spurs,189,6,255,-305,194,-4
7,2012-10-31,Chicago Bulls,Sacramento Kings,189,7.5,-275,235,180,6
8,2012-10-31,Utah Jazz,Dallas Mavericks,190.5,7,-400,330,207,19
9,2012-10-31,Phoenix Suns,Golden State Warriors,201.5,3.5,-140,120,172,-2
10,2012-10-31,Los Angeles Clippers,Memphis Grizzlies,187.5,4.5,-175,155,193,9
11,2012-10-31,Portland Trail Blazers,Los Angeles Lakers,190.5,3.5,115,-135,222,10
12,2012-11-01,San Antonio Spurs,Oklahoma City Thunder,201,3,-130,110,170,2
13,2012-11-02,Charlotte Bobcats,Indiana Pacers,185,6.5,250,-300,179,1
14,2012-11-02,Orlando Magic,Denver Nuggets,197,5.5,210,-250,191,13
15,2012-11-02,Atlanta Hawks,Houston Rockets,199,5.5,-220,180,211,-7
16,2012-11-02,Boston Celtics,Milwaukee Bucks,193,7.5,-330,270,187,-11
17,2012-11-02,Cleveland Cavaliers,Chicago Bulls,184,2.5,130,-150,201,-29
18,2012-11-02,New Orleans Pelicans,Utah Jazz,189,3.5,145,-165,174,2
19,2012-11-02,Minnesota Timberwolves,Sacramento Kings,195.5,3,-150,130,172,12
20,2012-11-02,Oklahoma City Thunder,Portland Trail Blazers,201.5,9.5,-450,350,198,14
21,2012-11-02,New York Knicks,Miami Heat,194,5.5,220,-260,188,20
22,2012-11-02,Phoenix Suns,Detroit Pistons,194.5,4,-200,170,181,3
23,2012-11-02,Golden State Warriors,Memphis Grizzlies,191.5,1,-102,-108,198,-10
24,2012-11-02,Los Angeles Lakers,Los Angeles Clippers,190,5,110,-130,200,-10
25,2012-11-03,Washington Wizards,Boston Celtics,192.5,6,200,-240,175,-3
26,2012-11-03,Indiana Pacers,Sacramento Kings,192.5,8.5,-345,285,204,8
27,2012-11-03,Miami Heat,Denver Nuggets,205,9,-445,355,235,3
28,2012-11-03,Brooklyn Nets,Toronto Raptors,191,6,-235,200,207,7
29,2012-11-03,Chicago Bulls,New Orleans Pelicans,184.5,9,-580,455,171,-7
30,2012-11-03,Houston Rockets,Portland Trail Blazers,201,5,-230,195,180,-10
31,2012-11-03,Dallas Mavericks,Charlotte Bobcats,187,11,-625,475,225,27
32,2012-11-03,San Antonio Spurs,Utah Jazz,199,7,-335,275,210,10
33,2012-11-03,Milwaukee Bucks,Cleveland Cavaliers,195.5,6,-300,250,207,3
34,2012-11-03,Los Angeles Clippers,Golden State Warriors,195,8.5,-460,360,224,-4
35,2012-11-04,New York Knicks,Philadelphia 76ers,188,4.5,-160,140,184,16
36,2012-11-04,Toronto Raptors,Minnesota Timberwolves,187,3.5,-160,140,191,19
37,2012-11-04,Orlando Magic,Phoenix Suns,194.5,1.5,-110,-110,209,21
38,2012-11-04,Oklahoma City Thunder,Atlanta Hawks,199,10.5,-550,425,199,-9
39,2012-11-04,Los Angeles Lakers,Detroit Pistons,192,8.5,-360,300,187,29
40,2012-11-05,Philadelphia 76ers,New York Knicks,185.5,4.5,-140,120,198,-22
41,2012-11-05,Miami Heat,Phoenix Suns,198,12.5,-1700,1100,223,25
42,2012-11-05,Brooklyn Nets,Minnesota Timberwolves,193,8,-350,290,203,-11
43,2012-11-05,Memphis Grizzlies,Utah Jazz,196,5,-210,175,197,9
44,2012-11-05,Dallas Mavericks,Portland Trail Blazers,195,5,-175,155,205,23
45,2012-11-05,San Antonio Spurs,Indiana Pacers,197,7,-410,335,180,22
46,2012-11-05,Sacramento Kings,Golden State Warriors,199.5,2,-125,105,186,2
47,2012-11-05,Los Angeles Clippers,Cleveland Cavaliers,195,10.5,-700,500,209,-7
48,2012-11-06,Chicago Bulls,Orlando Magic,186,9.5,-520,415,192,6
49,2012-11-06,Oklahoma City Thunder,Toronto Raptors,199,10,-505,400,196,20
50,2012-11-06,Denver Nuggets,Detroit Pistons,198,10,-670,495,206,12
51,2012-11-07,Charlotte Bobcats,Phoenix Suns,191,3,130,-150,227,-7
52,2012-11-07,Boston Celtics,Washington Wizards,188,10.5,-610,455,194,6
53,2012-11-07,Miami Heat,Brooklyn Nets,207.5,10.5,-650,475,176,30
54,2012-11-07,Atlanta Hawks,Indiana Pacers,189.5,3,-175,155,175,3
55,2012-11-07,Minnesota Timberwolves,Orlando Magic,194,6,-250,210,165,15
56,2012-11-07,New Orleans Pelicans,Philadelphia 76ers,182,1,106,-117,139,-15
57,2012-11-07,Houston Rockets,Denver Nuggets,204.5,2,-145,125,180,-6
58,2012-11-07,Milwaukee Bucks,Memphis Grizzlies,197.5,1,-113,102,198,-18
59,2012-11-07,Dallas Mavericks,Toronto Raptors,198,6,-300,250,213,5
60,2012-11-07,Utah Jazz,Los Angeles Lakers,195,3,-145,125,181,9
61,2012-11-07,Sacramento Kings,Detroit Pistons,191.5,5,-270,230,208,2
62,2012-11-07,Golden State Warriors,Cleveland Cavaliers,202,5,-240,200,202,10
63,2012-11-07,Los Angeles Clippers,San Antonio Spurs,199.5,1,-102,-108,190,22
64,2012-11-08,Chicago Bulls,Oklahoma City Thunder,201.5,1.5,125,-145,188,-6
65,2012-11-08,Portland Trail Blazers,Los Angeles Clippers,201,1.5,-110,100,193,-13
66,2012-11-09,Washington Wizards,Milwaukee Bucks,189.5,3,140,-160,192,-10
67,2012-11-09,Orlando Magic,Brooklyn Nets,196.5,2.5,135,-155,175,-39
68,2012-11-09,Boston Celtics,Philadelphia 76ers,179.5,6,-230,190,206,-6
69,2012-11-09,New York Knicks,Dallas Mavericks,197.5,6,-260,220,198,10
70,2012-11-09,Atlanta Hawks,Miami Heat,202,5.5,165,-190,184,-6
71,2012-11-09,Memphis Grizzlies,Houston Rockets,196.5,7,-300,250,178,8
72,2012-11-09,New Orleans Pelicans,Charlotte Bobcats,181,6.5,-290,245,206,8
73,2012-11-09,Oklahoma City Thunder,Detroit Pistons,198.5,12,-850,625,199,11
74,2012-11-09,Minnesota Timberwolves,Indiana Pacers,182.5,1.5,-130,110,190,2
75,2012-11-09,Phoenix Suns,Cleveland Cavaliers,200.5,4.5,-150,130,212,2
76,2012-11-09,Sacramento Kings,San Antonio Spurs,197,5.5,200,-240,183,-11
77,2012-11-09,Denver Nuggets,Utah Jazz,200.5,4.5,-240,200,188,20
78,2012-11-09,Los Angeles Lakers,Golden State Warriors,195.5,6.5,-330,270,178,24
79,2012-11-10,Toronto Raptors,Philadelphia 76ers,184.5,2,-140,120,176,-10
80,2012-11-10,Indiana Pacers,Washington Wizards,183,9,-360,300,174,4
81,2012-11-10,Charlotte Bobcats,Dallas Mavericks,194.5,5,220,-260,198,4
82,2012-11-10,Chicago Bulls,Minnesota Timberwolves,185,7.5,-360,300,167,7
83,2012-11-10,Houston Rockets,Detroit Pistons,195,8,-310,260,178,14
84,2012-11-10,Milwaukee Bucks,Boston Celtics,190,1.5,-105,-115,188,-4
85,2012-11-10,Utah Jazz,Phoenix Suns,201,9,-425,340,175,13
86,2012-11-10,Portland Trail Blazers,San Antonio Spurs,198.5,5,120,-140,221,-3
87,2012-11-10,Golden State Warriors,Denver Nuggets,203,1,115,-135,208,-6
88,2012-11-11,Brooklyn Nets,Orlando Magic,191,8,-400,320,156,8
89,2012-11-11,Los Angeles Clippers,Atlanta Hawks,198,5.5,-260,220,165,13
90,2012-11-11,Memphis Grizzlies,Miami Heat,196,2,115,-135,190,18
91,2012-11-11,Oklahoma City Thunder,Cleveland Cavaliers,203.5,9.5,-600,450,197,15
92,2012-11-11,Los Angeles Lakers,Sacramento Kings,193.5,9.5,-680,490,193,13
93,2012-11-12,Toronto Raptors,Utah Jazz,193,3,130,-150,273,-7
94,2012-11-12,Philadelphia 76ers,Milwaukee Bucks,188.5,3.5,-170,150,201,-9
95,2012-11-12,Detroit Pistons,Oklahoma City Thunder,195.5,6.5,250,-300,182,-2
96,2012-11-12,Chicago Bulls,Boston Celtics,184,3,-145,125,196,-6
97,2012-11-12,Houston Rockets,Miami Heat,195,5,190,-230,223,-3
98,2012-11-12,Dallas Mavericks,Minnesota Timberwolves,194.5,6.5,-290,245,172,-8
99,2012-11-12,Phoenix Suns,Denver Nuggets,201,4.5,170,-200,210,10
100,2012-11-12,Portland Trail Blazers,Atlanta Hawks,197,2,-150,130,182,-8
101,2012-11-13,Charlotte Bobcats,Washington Wizards,188,1.5,-130,110,168,16
102,2012-11-13,Orlando Magic,New York Knicks,188,6,255,-310,188,-10
103,2012-11-13,Indiana Pacers,Toronto Raptors,185.5,8.5,-500,400,146,-2
104,2012-11-13,Brooklyn Nets,Cleveland Cavaliers,196,6,-230,190,215,13
105,2012-11-13,Sacramento Kings,Portland Trail Blazers,196.5,2.5,-140,120,189,-17
106,2012-11-13,Los Angeles Lakers,San Antonio Spurs,195.5,1,103,-114,166,-2
107,2012-11-14,Philadelphia 76ers,Detroit Pistons,187.5,7,-380,310,170,-18
108,2012-11-14,Boston Celtics,Utah Jazz,193.5,6,-230,190,191,5
109,2012-11-14,Milwaukee Bucks,Indiana Pacers,189.5,3.5,-180,160,184,14
110,2012-11-14,Houston Rockets,New Orleans Pelicans,187.5,6.5,-275,235,196,4
111,2012-11-14,Oklahoma City Thunder,Memphis Grizzlies,194,5.5,-220,180,204,-10
112,2012-11-14,Minnesota Timberwolves,Charlotte Bobcats,185.5,7.5,-290,245,176,-2
113,2012-11-14,Dallas Mavericks,Washington Wizards,192.5,8.5,-400,320,208,6
114,2012-11-14,Phoenix Suns,Chicago Bulls,184.5,2,130,-150,218,-6
