,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2020-12-22,Brooklyn Nets,Golden State Warriors,228,5.5,-320,265,224,26
1,2020-12-22,Los Angeles Lakers,Los Angeles Clippers,223,2.5,-135,115,225,-7
2,2020-12-23,Cleveland Cavaliers,Charlotte Bobcats,215,1,120,-140,235,7
3,2020-12-23,Indiana Pacers,New York Knicks,214.5,8.5,-330,270,228,14
4,2020-12-23,Orlando Magic,Miami Heat,220.5,3.5,170,-190,220,6
5,2020-12-23,Philadelphia 76ers,Washington Wizards,229,7.5,-300,250,220,6
6,2020-12-23,Boston Celtics,Milwaukee Bucks,226,2.5,170,-190,243,1
7,2020-12-23,Toronto Raptors,New Orleans Pelicans,230,5,-170,150,212,-14
8,2020-12-23,Chicago Bulls,Atlanta Hawks,227,1.5,110,-130,228,-20
9,2020-12-23,Memphis Grizzlies,San Antonio Spurs,231.5,3,-130,110,250,-12
10,2020-12-23,Minnesota Timberwolves,Detroit Pistons,227,5.5,-220,190,212,10
11,2020-12-23,Denver Nuggets,Sacramento Kings,224.5,8,-310,260,246,-2
12,2020-12-23,Portland Trail Blazers,Utah Jazz,229,1.5,110,-130,220,-20
13,2020-12-23,Phoenix Suns,Dallas Mavericks,237,0,-120,100,208,4
14,2020-12-25,Miami Heat,New Orleans Pelicans,229,5,-150,130,209,13
15,2020-12-25,Milwaukee Bucks,Golden State Warriors,233.5,8.5,-600,450,237,39
16,2020-12-25,Boston Celtics,Brooklyn Nets,227,0,125,-145,218,-28
17,2020-12-25,Los Angeles Lakers,Dallas Mavericks,230,6.5,-265,225,253,23
18,2020-12-25,Denver Nuggets,Los Angeles Clippers,222,2,140,-160,229,-13
19,2020-12-26,Memphis Grizzlies,Atlanta Hawks,237.5,1,-140,120,234,-10
20,2020-12-26,Detroit Pistons,Cleveland Cavaliers,220,3,-110,-110,247,-9
21,2020-12-26,Washington Wizards,Orlando Magic,228.5,1,-130,110,250,-10
22,2020-12-26,Charlotte Bobcats,Oklahoma City Thunder,218.5,3,-145,125,216,-2
23,2020-12-26,New York Knicks,Philadelphia 76ers,219,8,300,-360,198,-20
24,2020-12-26,Chicago Bulls,Indiana Pacers,222.5,3,200,-240,231,-19
25,2020-12-26,San Antonio Spurs,Toronto Raptors,225.5,2,125,-145,233,5
26,2020-12-26,Utah Jazz,Minnesota Timberwolves,225.5,8,-450,375,227,-5
27,2020-12-26,Sacramento Kings,Phoenix Suns,230,4.5,140,-160,209,3
28,2020-12-26,Portland Trail Blazers,Houston Rockets,225,8.5,-360,300,254,2
29,2020-12-27,Los Angeles Clippers,Dallas Mavericks,230,4.5,-160,140,197,-51
30,2020-12-27,New Orleans Pelicans,San Antonio Spurs,226.5,5.5,-190,170,193,3
31,2020-12-27,Washington Wizards,Orlando Magic,225.5,1.5,110,-130,233,-7
32,2020-12-27,Charlotte Bobcats,Brooklyn Nets,224,7.5,450,-600,210,2
33,2020-12-27,Cleveland Cavaliers,Philadelphia 76ers,218.5,5.5,200,-240,212,24
34,2020-12-27,New York Knicks,Milwaukee Bucks,223.5,11,750,-1200,240,20
35,2020-12-27,Indiana Pacers,Boston Celtics,219,3,115,-135,215,1
36,2020-12-27,Chicago Bulls,Golden State Warriors,226,2,145,-165,257,-1
37,2020-12-27,Sacramento Kings,Phoenix Suns,224.5,3.5,140,-160,216,-16
38,2020-12-28,Los Angeles Lakers,Minnesota Timberwolves,224,11,-500,400,218,36
39,2020-12-28,Brooklyn Nets,Memphis Grizzlies,235,7,105,-125,227,-5
40,2020-12-28,Atlanta Hawks,Detroit Pistons,226.5,8.5,-500,400,248,8
41,2020-12-28,Oklahoma City Thunder,Utah Jazz,221,5,330,-400,219,-1
42,2020-12-28,Denver Nuggets,Houston Rockets,225.5,9,-265,225,235,13
43,2020-12-28,Los Angeles Lakers,Portland Trail Blazers,227.5,4.5,-230,195,222,-8
44,2020-12-29,Indiana Pacers,Boston Celtics,220,1,-115,-105,227,-5
45,2020-12-29,Washington Wizards,Chicago Bulls,232.5,4.5,-250,210,222,-8
46,2020-12-29,Detroit Pistons,Golden State Warriors,222.5,3.5,150,-170,222,-10
47,2020-12-29,Philadelphia 76ers,Toronto Raptors,218.5,0,-125,105,193,7
48,2020-12-29,Cleveland Cavaliers,New York Knicks,219.5,4.5,-160,140,181,-9
49,2020-12-29,Miami Heat,Milwaukee Bucks,222.5,5,200,-240,241,-47
50,2020-12-29,Oklahoma City Thunder,Orlando Magic,219.5,5,210,-250,225,-11
51,2020-12-29,Los Angeles Clippers,Minnesota Timberwolves,229.5,6.5,-650,475,225,23
52,2020-12-29,Phoenix Suns,New Orleans Pelicans,223,3,-125,105,197,25
53,2020-12-29,Sacramento Kings,Denver Nuggets,223.5,3,-110,-110,240,10
54,2020-12-30,Boston Celtics,Memphis Grizzlies,224,8.5,-285,245,233,19
55,2020-12-30,Miami Heat,Milwaukee Bucks,227.5,6,220,-260,227,11
56,2020-12-30,Brooklyn Nets,Atlanta Hawks,240,6.5,-230,195,286,4
57,2020-12-30,Dallas Mavericks,Charlotte Bobcats,223.5,8.5,-360,300,217,-19
58,2020-12-30,San Antonio Spurs,Los Angeles Lakers,229.5,6.5,260,-310,228,-14
59,2020-12-30,Los Angeles Clippers,Portland Trail Blazers,229,3.5,-220,190,233,23
60,2020-12-31,Indiana Pacers,Cleveland Cavaliers,217,8.5,-330,270,218,20
61,2020-12-31,Washington Wizards,Chicago Bulls,234.5,5,-300,250,263,-3
62,2020-12-31,Orlando Magic,Philadelphia 76ers,217,2,155,-175,208,-24
63,2020-12-31,Houston Rockets,Sacramento Kings,227,3,-210,180,241,3
64,2020-12-31,Toronto Raptors,New York Knicks,217.5,9.5,-360,300,183,17
65,2020-12-31,Oklahoma City Thunder,New Orleans Pelicans,214.5,4.5,175,-200,193,-33
66,2020-12-31,Utah Jazz,Phoenix Suns,220,4,-170,150,201,-11
67,2021-01-01,Detroit Pistons,Boston Celtics,215.5,9.5,310,-370,189,3
68,2021-01-01,Dallas Mavericks,Miami Heat,222.5,1,-105,-115,176,10
69,2021-01-01,Charlotte Bobcats,Memphis Grizzlies,220,2,-180,160,201,-15
70,2021-01-01,Brooklyn Nets,Atlanta Hawks,247,6,-250,210,210,-18
71,2021-01-01,Minnesota Timberwolves,Washington Wizards,232.5,1,-110,-110,239,-21
72,2021-01-01,San Antonio Spurs,Los Angeles Lakers,230.5,7,280,-340,212,-6
73,2021-01-01,Milwaukee Bucks,Chicago Bulls,230,14,-1500,850,222,30
74,2021-01-01,Denver Nuggets,Phoenix Suns,225,4.5,-160,140,209,-3
75,2021-01-01,Utah Jazz,Los Angeles Clippers,225.5,2,140,-160,206,6
76,2021-01-01,Golden State Warriors,Portland Trail Blazers,230.5,4,130,-150,221,-25
77,2021-01-02,Houston Rockets,Sacramento Kings,233,4,110,-130,196,8
78,2021-01-02,Philadelphia 76ers,Charlotte Bobcats,213.5,9.5,-500,400,239,15
79,2021-01-02,Orlando Magic,Oklahoma City Thunder,218.5,7.5,-175,155,207,-9
80,2021-01-02,Indiana Pacers,New York Knicks,215,9,-450,375,208,-4
81,2021-01-02,New Orleans Pelicans,Toronto Raptors,216,1,-105,-115,236,4
82,2021-01-02,Atlanta Hawks,Cleveland Cavaliers,234.5,6.5,-240,200,187,-5
83,2021-01-03,Detroit Pistons,Boston Celtics,213.5,8,300,-360,242,-2
84,2021-01-03,Brooklyn Nets,Washington Wizards,242.5,8.5,-330,270,245,-1
85,2021-01-03,Memphis Grizzlies,Los Angeles Lakers,222.5,10.5,400,-500,202,-14
86,2021-01-03,San Antonio Spurs,Utah Jazz,219.5,4,190,-220,239,-21
87,2021-01-03,Minnesota Timberwolves,Denver Nuggets,231,8.5,300,-360,233,-15
88,2021-01-03,Phoenix Suns,Los Angeles Clippers,218,1.5,130,-150,219,-5
89,2021-01-03,Chicago Bulls,Dallas Mavericks,225,5.5,150,-170,226,10
90,2021-01-03,Golden State Warriors,Portland Trail Blazers,234.5,4.5,170,-190,259,15
91,2021-01-04,Philadelphia 76ers,Charlotte Bobcats,218,9.5,-350,290,219,17
92,2021-01-04,Orlando Magic,Cleveland Cavaliers,217,5,-220,190,186,20
93,2021-01-04,Miami Heat,Oklahoma City Thunder,212.5,8,-420,350,208,28
94,2021-01-04,Atlanta Hawks,New York Knicks,223,6,-300,250,221,-5
