,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2017-10-17,Cleveland Cavaliers,Boston Celtics,214.5,4,-195,166,201,3
1,2017-10-17,Golden State Warriors,Houston Rockets,232,9,-470,364,243,-1
2,2017-10-18,Indiana Pacers,Brooklyn Nets,212,3.5,-155,135,271,9
3,2017-10-18,Washington Wizards,Philadelphia 76ers,215.5,6.5,-300,240,235,5
4,2017-10-18,Orlando Magic,Miami Heat,207,3,145,-170,225,7
5,2017-10-18,Detroit Pistons,Charlotte Bobcats,204,3,-145,125,192,12
6,2017-10-18,Boston Celtics,Milwaukee Bucks,208.5,6,-125,105,208,-8
7,2017-10-18,Memphis Grizzlies,New Orleans Pelicans,205,3,-130,110,194,12
8,2017-10-18,Dallas Mavericks,Atlanta Hawks,199.5,6.5,-240,190,228,-6
9,2017-10-18,Utah Jazz,Denver Nuggets,209,2,-140,120,202,10
10,2017-10-18,San Antonio Spurs,Minnesota Timberwolves,207,3,-125,105,206,8
11,2017-10-18,Sacramento Kings,Houston Rockets,218.5,9,250,-310,205,-5
12,2017-10-18,Phoenix Suns,Portland Trail Blazers,220,1,120,-140,200,-48
13,2017-10-19,Toronto Raptors,Chicago Bulls,206,12,-1400,800,218,16
14,2017-10-19,Oklahoma City Thunder,New York Knicks,213,11.5,-1000,650,189,21
15,2017-10-19,Los Angeles Lakers,Los Angeles Clippers,218.5,4.5,210,-260,200,-16
16,2017-10-20,Philadelphia 76ers,Boston Celtics,216.5,1,-150,130,194,-10
17,2017-10-20,Charlotte Bobcats,Atlanta Hawks,202.5,6,-190,160,200,18
18,2017-10-20,Washington Wizards,Detroit Pistons,210.5,6.5,-280,230,226,4
19,2017-10-20,Milwaukee Bucks,Cleveland Cavaliers,210,1.5,-115,-105,213,-19
20,2017-10-20,Indiana Pacers,Portland Trail Blazers,219,3.5,185,-230,210,-18
21,2017-10-20,Brooklyn Nets,Orlando Magic,220,1,-130,110,247,5
22,2017-10-20,Minnesota Timberwolves,Utah Jazz,200,5.5,-200,170,197,3
23,2017-10-20,Dallas Mavericks,Sacramento Kings,203,5.5,-250,200,181,-5
24,2017-10-20,New Orleans Pelicans,Golden State Warriors,222.5,6.5,360,-470,248,-8
25,2017-10-20,Phoenix Suns,Los Angeles Lakers,222,2.5,-160,140,262,-2
26,2017-10-21,Toronto Raptors,Philadelphia 76ers,216,7.5,-365,292,222,34
27,2017-10-21,Cleveland Cavaliers,Orlando Magic,212.5,11,-850,588,207,-21
28,2017-10-21,Houston Rockets,Dallas Mavericks,214.5,10.5,-850,588,198,16
29,2017-10-21,New York Knicks,Detroit Pistons,206.5,1.5,-105,-115,218,-4
30,2017-10-21,Miami Heat,Indiana Pacers,211,8.5,-425,334,220,4
