,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2014-10-28,San Antonio Spurs,Dallas Mavericks,206.5,6,-165,140,201,1
1,2014-10-28,New Orleans Pelicans,Orlando Magic,196,9.5,-475,380,185,17
2,2014-10-28,Los Angeles Lakers,Houston Rockets,209,6.5,250,-300,198,-18
3,2014-10-29,Charlotte Bobcats,Milwaukee Bucks,192,9,-390,315,214,2
4,2014-10-29,Indiana Pacers,Philadelphia 76ers,194,8.5,-350,290,194,12
5,2014-10-29,Boston Celtics,Brooklyn Nets,191,1.5,-115,-105,226,16
6,2014-10-29,Toronto Raptors,Atlanta Hawks,199.5,5.5,-190,161,211,7
7,2014-10-29,Miami Heat,Washington Wizards,194,4.5,-210,180,202,12
8,2014-10-29,New York Knicks,Chicago Bulls,190,4,166,-195,184,-24
9,2014-10-29,Memphis Grizzlies,Minnesota Timberwolves,198,8.5,-350,290,206,4
10,2014-10-29,Denver Nuggets,Detroit Pistons,211,7.5,-270,225,168,10
11,2014-10-29,Utah Jazz,Houston Rockets,203,4.5,135,-160,197,-11
12,2014-10-29,Phoenix Suns,Los Angeles Lakers,207,8.5,-1100,750,218,20
13,2014-10-29,Sacramento Kings,Golden State Warriors,204.5,4,166,-195,172,-18
14,2014-10-29,Portland Trail Blazers,Oklahoma City Thunder,201.5,4.5,-475,380,195,17
15,2014-10-30,Orlando Magic,Washington Wizards,189,5,161,-190,203,-7
16,2014-10-30,Cleveland Cavaliers,New York Knicks,199,10,-1325,825,185,-5
17,2014-10-30,Minnesota Timberwolves,Detroit Pistons,205,3.5,-230,195,188,6
18,2014-10-30,Dallas Mavericks,Utah Jazz,202.5,9.5,-650,500,222,18
19,2014-10-30,Los Angeles Clippers,Oklahoma City Thunder,202,9.5,-1200,800,183,3
20,2014-10-31,Indiana Pacers,Memphis Grizzlies,186,5.5,225,-270,186,-8
21,2014-10-31,Chicago Bulls,Cleveland Cavaliers,193.5,2.5,-180,155,222,-6
22,2014-10-31,Milwaukee Bucks,Philadelphia 76ers,200,8,-420,340,174,12
23,2014-10-31,Sacramento Kings,Portland Trail Blazers,201,5.5,161,-190,197,9
24,2014-10-31,Phoenix Suns,San Antonio Spurs,206,1.5,-105,-115,183,5
25,2014-10-31,Los Angeles Lakers,Los Angeles Clippers,210,11.5,600,-900,229,-7
26,2014-11-01,Charlotte Bobcats,Memphis Grizzlies,188.5,2.5,-160,135,140,-2
27,2014-11-01,New Orleans Pelicans,Dallas Mavericks,202,1,-115,-105,213,-5
28,2014-11-01,Orlando Magic,Toronto Raptors,196,7,195,-235,203,-13
29,2014-11-01,Philadelphia 76ers,Miami Heat,199.5,8.5,355,-450,210,-18
30,2014-11-01,Washington Wizards,Milwaukee Bucks,197.5,8.5,-450,355,205,11
31,2014-11-01,Detroit Pistons,Brooklyn Nets,197.5,3.5,-150,130,192,-12
32,2014-11-01,Atlanta Hawks,Indiana Pacers,193,9.5,-650,500,194,10
33,2014-11-01,Minnesota Timberwolves,Chicago Bulls,192,4.5,110,-130,211,-1
34,2014-11-01,Houston Rockets,Boston Celtics,205.5,8,-350,290,194,14
35,2014-11-01,Oklahoma City Thunder,Denver Nuggets,196,5.5,170,-200,193,11
36,2014-11-01,Utah Jazz,Phoenix Suns,205.5,2,110,-130,209,27
37,2014-11-01,Golden State Warriors,Los Angeles Lakers,207,15.5,-1500,900,231,23
38,2014-11-02,Los Angeles Clippers,Sacramento Kings,206.5,10.5,-480,380,190,-6
39,2014-11-02,Miami Heat,Toronto Raptors,196,3.5,-130,110,209,5
40,2014-11-02,New York Knicks,Charlotte Bobcats,190.5,2,-165,140,189,3
41,2014-11-02,Portland Trail Blazers,Golden State Warriors,203,3.5,-165,140,185,-5
42,2014-11-03,Philadelphia 76ers,Houston Rockets,205,10,600,-850,197,-11
43,2014-11-03,Brooklyn Nets,Oklahoma City Thunder,193,7,-275,230,201,31
44,2014-11-03,Memphis Grizzlies,New Orleans Pelicans,188.5,6,-180,155,174,12
45,2014-11-03,Dallas Mavericks,Boston Celtics,208,9,-515,395,231,5
46,2014-11-03,Denver Nuggets,Sacramento Kings,203,8,-290,240,215,-5
47,2014-11-03,Los Angeles Clippers,Utah Jazz,206.5,9.5,-550,430,208,6
48,2014-11-04,Indiana Pacers,Milwaukee Bucks,192,3,-175,150,168,-6
49,2014-11-04,Toronto Raptors,Oklahoma City Thunder,192,9,-900,600,188,12
50,2014-11-04,New York Knicks,Washington Wizards,191,2,110,-130,181,-15
51,2014-11-04,Miami Heat,Houston Rockets,201,0,-137,117,199,-17
52,2014-11-04,Chicago Bulls,Orlando Magic,188.5,13,-600,460,188,8
53,2014-11-04,New Orleans Pelicans,Charlotte Bobcats,191.5,3,-180,155,191,9
54,2014-11-04,Portland Trail Blazers,Cleveland Cavaliers,200.5,1.5,120,-140,183,19
55,2014-11-04,Los Angeles Lakers,Phoenix Suns,215,6,210,-250,218,-6
56,2014-11-05,Philadelphia 76ers,Orlando Magic,195,1,125,-145,180,-2
57,2014-11-05,Charlotte Bobcats,Miami Heat,192.5,2.5,-125,105,185,7
58,2014-11-05,Boston Celtics,Toronto Raptors,204,0,-130,110,217,-3
59,2014-11-05,Brooklyn Nets,Minnesota Timberwolves,205,5,-210,180,189,-7
60,2014-11-05,Detroit Pistons,New York Knicks,190,4,-180,155,193,3
61,2014-11-05,Washington Wizards,Indiana Pacers,193.5,8.5,-525,405,190,2
62,2014-11-05,Milwaukee Bucks,Chicago Bulls,193.5,7,180,-210,181,-9
63,2014-11-05,San Antonio Spurs,Atlanta Hawks,203,8.5,-385,315,186,2
64,2014-11-05,Phoenix Suns,Memphis Grizzlies,195,1,-120,100,193,-11
65,2014-11-05,Utah Jazz,Cleveland Cavaliers,202,6,195,-230,202,2
66,2014-11-05,Sacramento Kings,Denver Nuggets,202.5,2,-160,135,240,22
67,2014-11-05,Golden State Warriors,Los Angeles Clippers,208.5,3.5,-208,178,225,17
68,2014-11-06,Houston Rockets,San Antonio Spurs,201.5,3,-295,245,179,17
69,2014-11-06,Portland Trail Blazers,Dallas Mavericks,206.5,3,-130,110,195,21
70,2014-11-07,Charlotte Bobcats,Atlanta Hawks,191,3,-125,105,241,3
71,2014-11-07,Orlando Magic,Minnesota Timberwolves,200.5,4,155,-180,215,9
72,2014-11-07,Philadelphia 76ers,Chicago Bulls,190.5,11.5,460,-600,233,-3
73,2014-11-07,Boston Celtics,Indiana Pacers,194,5.5,-230,195,199,3
